City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Vangaindrano,MG,71.87,light rain,-23.35,47.6,Hotel Fanilo
489,Pandegelang,ID,77.95,scattered clouds,-6.31,106.1058,Rizki Hotel & Resto
490,Port Augusta,AU,79.02,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
492,Wanning,CN,79.72,clear sky,18.8003,110.3967,Paradise Hotel
493,Bandar-E Lengeh,IR,81.07,few clouds,26.5579,54.8807,کافی نت پارس
494,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
496,Pyay,MM,83.59,broken clouds,18.8167,95.2167,Shwe Pyi Thar
499,Sola,VU,82.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
501,Tuatapere,NZ,61.0,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
503,Key West,US,82.4,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
508,Ambovombe,MG,73.54,broken clouds,-25.1667,46.0833,RELAHARA
509,Sabang,ID,83.53,overcast clouds,5.8933,95.3214,Hotel Citra
511,Alibag,IN,84.27,broken clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
512,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
513,Mildura,AU,79.07,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
514,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
516,Severinia,BR,68.88,broken clouds,-20.8094,-48.8028,Oasis Hotel
517,Gamba,GA,76.98,overcast clouds,-2.65,10.0,
522,Umm Lajj,SA,73.08,overcast clouds,25.0213,37.2685,Moon light Furnished Units
523,Farafangana,MG,74.3,light rain,-22.8167,47.8333,Miarina
524,Ponta Delgada,PT,61.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
525,Bac Lieu,VN,83.66,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
527,Taupo,NZ,60.21,clear sky,-38.6833,176.0833,Lake Taupo Motor Inn
528,Aitape,PG,86.7,broken clouds,-3.1374,142.3475,
529,Gladstone,AU,77.79,broken clouds,-23.85,151.25,Highpoint International Hotel
530,Tanete,ID,83.75,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
531,Yang Talat,TH,88.95,broken clouds,16.3998,103.3679,โรงแรมกู๊ดวิว
532,Kolondieba,ML,86.23,overcast clouds,11.0882,-6.8926,Hotel Dakan
534,Kulhudhuffushi,MV,83.71,overcast clouds,6.6221,73.07,Haajy Guest House 1
535,Taree,AU,69.73,broken clouds,-31.9,152.4667,All Seasons Country Lodge Taree
536,Yaan,NG,78.19,light rain,7.3833,8.5667,
537,Makasar,ID,84.25,few clouds,-5.14,119.4221,Aryaduta Makassar
540,Antofagasta,CL,60.08,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
541,Honiara,SB,88.02,clear sky,-9.4333,159.95,Heritage Park Hotel
544,Poum,NC,78.51,clear sky,-20.2333,164.0167,
546,Suluq,LY,61.57,overcast clouds,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
547,Saint George,US,62.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
550,Fuerte Olimpo,PY,72.88,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
551,Florian,CO,61.79,overcast clouds,5.8049,-73.9703,CASCADAS DE TISQUIZOQUE (Florián S/der)
553,Beni,CD,62.76,overcast clouds,0.5,29.4667,Albertine hotel
555,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
556,Tautira,PF,81.79,scattered clouds,-17.7333,-149.15,Pension Oaoa
557,Tukrah,LY,62.56,overcast clouds,32.5341,20.5791,Lagrota restaurant
559,Bhavnagar,IN,80.8,clear sky,21.7667,72.15,Hotel Mausam
564,Filingue,NE,89.15,overcast clouds,14.3521,3.3168,
