City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Pangkalanbuun,ID,-2.6833,111.6167,81.07,80,91,1.81,overcast clouds
279,Beloha,MG,-25.1667,45.05,72.7,66,68,5.39,broken clouds
280,Huambo,AO,-12.7761,15.7392,59.25,94,100,3.13,overcast clouds
281,Zhoucheng,CN,35.9122,116.3117,57.31,30,100,5.59,overcast clouds
282,Kommunar,RU,59.6206,30.39,36.36,90,95,2.89,overcast clouds
283,San Nicolas,PH,18.1725,120.5953,83.62,65,90,3.42,overcast clouds
284,Rocha,UY,-34.4833,-54.3333,50.0,78,0,5.19,clear sky
285,Champerico,GT,14.3,-91.9167,84.63,65,96,7.72,overcast clouds
286,Clyde River,CA,70.4692,-68.5914,-12.77,84,0,3.44,clear sky
287,Peniche,PT,39.3558,-9.3811,57.11,86,100,14.65,overcast clouds
288,Arcachon,FR,44.5875,-1.0519,55.72,100,0,3.44,clear sky
289,Lalibela,ET,12.0333,39.0333,60.85,38,15,7.02,few clouds
290,Vestmannaeyjar,IS,63.4427,-20.2734,45.18,87,100,37.09,overcast clouds
291,Malazgirt,TR,39.1427,42.5401,24.48,70,0,0.78,clear sky
292,Galesong,ID,-5.3166,119.3661,84.22,73,96,3.24,overcast clouds
293,Port Blair,IN,11.6667,92.75,82.44,83,20,2.3,few clouds
294,Touros,BR,-5.1989,-35.4608,78.85,83,7,8.21,clear sky
295,Katsuura,JP,35.1333,140.3,58.17,88,100,23.02,overcast clouds
296,Salur,IN,18.5333,83.2167,82.62,63,48,0.94,scattered clouds
297,Kodinsk,RU,58.6881,99.1844,35.22,74,100,12.19,overcast clouds
298,Klaksvik,FO,62.2266,-6.589,43.72,86,34,17.67,scattered clouds
299,Tsiroanomandidy,MG,-18.7667,46.0333,63.7,86,0,4.25,clear sky
300,Jinchang,CN,38.4953,102.1739,46.92,36,100,4.0,overcast clouds
301,Novovasylivka,UA,46.8315,35.7536,42.69,86,100,11.92,overcast clouds
302,Lavrentiya,RU,65.5833,-171.0,26.76,85,100,13.42,overcast clouds
303,Cuauhtemoc,MX,28.4167,-106.8667,68.54,11,28,17.85,scattered clouds
304,Helong,CN,42.5397,128.9972,48.94,38,41,4.21,scattered clouds
305,Fort Nelson,CA,58.8053,-122.7002,27.99,22,20,4.61,few clouds
306,Ahvaz,IR,31.3203,48.6693,71.55,23,0,2.3,clear sky
307,Torbay,CA,47.6666,-52.7314,33.58,92,100,17.27,overcast clouds
308,Ternate,ID,0.8,127.4,83.62,70,100,1.83,overcast clouds
309,The Valley,AI,18.217,-63.0578,78.66,74,20,19.93,few clouds
310,Mana,GF,5.6592,-53.7767,76.69,87,35,10.63,scattered clouds
311,Kharp,RU,66.8014,65.8081,33.31,97,100,5.5,overcast clouds
312,Baruun-Urt,MN,46.6806,113.2792,36.73,28,11,7.29,few clouds
313,Aripuana,BR,-9.1667,-60.6333,74.19,96,81,0.83,broken clouds
314,Vardo,NO,70.3705,31.1107,29.79,81,86,7.92,overcast clouds
315,Padang,ID,-0.9492,100.3543,82.45,76,52,1.68,broken clouds
316,Hualmay,PE,-11.0964,-77.6139,66.69,83,95,10.04,overcast clouds
317,San Andres,CO,12.5847,-81.7006,82.42,78,20,13.8,few clouds
318,Kununurra,AU,-15.7667,128.7333,84.18,79,93,6.91,overcast clouds
319,Awbari,LY,26.5921,12.7805,76.17,10,0,4.34,clear sky
320,Newport,GB,51.5877,-2.9984,50.11,90,72,3.53,broken clouds
321,Kirensk,RU,57.7853,108.1119,31.33,92,100,16.24,light snow
322,Walvis Bay,NA,-22.9575,14.5053,57.09,85,4,6.29,clear sky
323,Nhulunbuy,AU,-12.2333,136.7667,86.61,74,75,12.66,broken clouds
324,Qinhuangdao,CN,39.9317,119.5883,57.92,24,73,2.28,broken clouds
325,Geraldton,AU,-28.7667,114.6,68.41,77,40,9.22,scattered clouds
326,Carutapera,BR,-1.195,-46.02,76.77,93,100,5.91,light rain
327,Acapulco,MX,16.8634,-99.8901,80.42,74,75,9.22,broken clouds
328,Burnie,AU,-41.0667,145.9167,66.92,64,100,7.99,overcast clouds
329,Khani,GE,41.9563,42.9566,27.97,87,11,5.23,few clouds
330,Sechura,PE,-5.5569,-80.8222,70.77,71,100,17.31,overcast clouds
331,Bang Saphan,TH,11.2126,99.5117,82.15,73,77,5.91,broken clouds
332,Palmer,US,42.1584,-72.3287,65.75,59,100,10.36,overcast clouds
333,Bonavista,CA,48.6499,-53.1147,31.64,86,100,28.61,overcast clouds
334,Mataram,ID,-8.5833,116.1167,86.81,70,9,5.21,clear sky
335,Matou,CN,29.8315,115.5774,60.13,69,32,5.75,scattered clouds
336,Yerbogachen,RU,61.2767,108.0108,32.45,96,100,15.48,snow
337,Churapcha,RU,62.0025,132.4325,28.9,85,97,7.27,overcast clouds
338,Viedma,AR,-40.8135,-62.9967,53.31,68,0,2.1,clear sky
339,Ancud,CL,-41.8697,-73.8203,52.23,91,33,3.49,scattered clouds
340,Asfi,MA,32.2994,-9.2372,57.72,83,9,19.91,clear sky
341,Florianopolis,BR,-27.6146,-48.5012,69.37,86,75,11.5,broken clouds
342,Fernley,US,39.608,-119.2518,52.66,21,100,5.01,overcast clouds
343,La Palma,US,33.8464,-118.0467,71.91,34,20,12.66,few clouds
344,Begoro,GH,6.3871,-0.3774,71.85,95,90,3.47,overcast clouds
